Above,1,cloud,6,tower 
Above,2,building,1,cloud 
Left,2,building,3,building 
Above,2,building, 7,window 
Right,2,building,7,window 
Above,2,building,8,couple-of-persons 
Right,3,building,2,building 
Right,3,building,7,window 
Right,4,church,6,tower 
Right,5,car,8,couple-of-persons 
Above,6,tower,1,cloud 
Left,6,tower,4,church 
Below,2,building,7,window 
Left,7,window,2,building 
Left,7,window,3,building 
Above,7,window, 8,couple-of-persons 
Above,8,couple-of-persons,2,building 
Left,8,couple-of-persons,5,car 
Below,7,window,8,couple-of-persons 
